,Metrics (Mean ± Std)
TN,20900.00 ± 3935.73
FP,10800.00 ± 4257.93
FN,4200.00 ± 1345.36
TP,9400.00 ± 300.00
Accuracy,67.11 ± 9.34
Sensitivity,69.52 ± 7.79
Specificity,66.07 ± 12.03
ROC AUC,72.03 ± 10.72
F1 Score,56.37 ± 8.41
