Metric,Mean,Standard Deviation
TN,237.33333333333334,42.00396806652121
FP,79.66666666666667,19.55334583474995
FN,46.333333333333336,11.547005383792515
TP,89.66666666666667,2.3094010767585034
Accuracy,0.7201380806317338,0.03916397952064891
Sensitivity,0.6624146612049838,0.06210594741446746
Specificity,0.7449066057314301,0.08190043533581767
ROC AUC,0.7586036161149758,0.015610106083127297
F1 Score,0.587804697668915,0.014289611596714137
