,Metrics (Mean ± Std)
TN,21900.00 ± 1951.92
FP,10966.67 ± 1800.93
FN,4066.67 ± 351.19
TP,10033.33 ± 1222.02
Accuracy,68.07 ± 1.32
Sensitivity,71.10 ± 0.81
Specificity,66.76 ± 2.22
ROC AUC,73.46 ± 0.94
F1 Score,57.22 ± 0.78
