,Metrics (Mean ± Std)
TN,29000.00 ± 3559.49
FP,9100.00 ± 854.40
FN,5766.67 ± 1692.14
TP,10566.67 ± 1882.37
Accuracy,72.56 ± 3.68
Sensitivity,64.66 ± 10.66
Specificity,75.94 ± 3.75
ROC AUC,74.26 ± 7.90
F1 Score,58.40 ± 6.80
