,Metrics (Mean ± Std)
TN,24400.00 ± 5384.24
FP,14400.00 ± 3251.15
FN,5200.00 ± 793.73
TP,11433.33 ± 750.56
Accuracy,64.40 ± 7.19
Sensitivity,68.80 ± 3.88
Specificity,62.52 ± 10.03
ROC AUC,70.03 ± 4.04
F1 Score,54.00 ± 5.77
