Metric,Mean,Standard Deviation
TN,203.66666666666666,32.129944496269104
FP,121.66666666666667,4.618802153517006
FN,32.0,7.211102550927978
TP,107.66666666666667,8.621678104251709
Accuracy,0.6685531348388022,0.013512786643922223
Sensitivity,0.7728110599078342,0.029156343705314582
Specificity,0.6238013550848003,0.03150345288747852
ROC AUC,0.7626696952370842,0.007111193569180388
F1 Score,0.5834594874101664,0.002840169628125056
