,Metrics (Mean ± Std)
TN,20366.67 ± 1365.04
FP,13733.33 ± 1750.24
FN,3666.67 ± 1050.40
TP,10966.67 ± 1115.05
Accuracy,64.34 ± 1.35
Sensitivity,74.97 ± 7.10
Specificity,59.77 ± 3.93
ROC AUC,75.47 ± 2.93
F1 Score,55.73 ± 2.34
