TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
199,64,39,74,0.726063829787234,0.6548672566371682,0.7566539923954373,0.7587401998721356,0.5896414342629482
197,45,35,69,0.7687861271676301,0.6634615384615384,0.8140495867768595,0.8033216783216783,0.6330275229357798
216,40,50,60,0.7540983606557377,0.5454545454545454,0.84375,0.7569957386363637,0.5714285714285713
