,Metrics (Mean ± Std)
TN,20400.00 ± 1044.03
FP,4966.67 ± 1266.23
FN,4133.33 ± 776.75
TP,6766.67 ± 709.46
Accuracy,74.96 ± 2.17
Sensitivity,62.13 ± 6.58
Specificity,80.48 ± 4.43
ROC AUC,77.30 ± 2.63
F1 Score,59.80 ± 3.16
