,Metrics (Mean ± Std)
TN,28600.00 ± 2163.33
FP,9500.00 ± 984.89
FN,6233.33 ± 351.19
TP,10100.00 ± 888.82
Accuracy,71.09 ± 1.00
Sensitivity,61.80 ± 1.34
Specificity,75.07 ± 1.85
ROC AUC,73.36 ± 1.25
F1 Score,56.20 ± 0.63
