TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
280,84,62,94,0.7192307692307692,0.6025641025641025,0.7692307692307693,0.7309453367145675,0.562874251497006
268,98,59,98,0.6998087954110899,0.6242038216560509,0.73224043715847,0.7226862970310813,0.5552407932011332
310,103,66,111,0.7135593220338983,0.6271186440677966,0.7506053268765133,0.747253799537626,0.5677749360613811
