,Metrics (Mean ± Std)
TN,25733.33 ± 3000.56
FP,13000.00 ± 3360.06
FN,4466.67 ± 1069.27
TP,12133.33 ± 1594.78
Accuracy,68.46 ± 3.40
Sensitivity,73.00 ± 6.76
Specificity,66.52 ± 7.74
ROC AUC,76.14 ± 0.53
F1 Score,58.16 ± 0.53
