,Metrics (Mean ± Std)
TN,22533.33 ± 2437.90
FP,3066.67 ± 1209.68
FN,5633.33 ± 1738.77
TP,5366.67 ± 1184.62
Accuracy,76.26 ± 1.07
Sensitivity,49.23 ± 12.93
Specificity,87.87 ± 5.08
ROC AUC,76.89 ± 2.71
F1 Score,54.80 ± 7.65
