,Metrics (Mean ± Std)
TN,16733.33 ± 971.25
FP,8566.67 ± 1026.32
FN,3233.33 ± 757.19
TP,7633.33 ± 503.32
Accuracy,67.42 ± 2.26
Sensitivity,70.36 ± 6.03
Specificity,66.16 ± 3.51
ROC AUC,75.29 ± 3.88
F1 Score,56.44 ± 3.16
