TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
165,77,27,77,0.6994219653179191,0.7403846153846154,0.6818181818181818,0.7917196439923713,0.5968992248062016
178,83,41,71,0.6675603217158177,0.6339285714285714,0.6819923371647509,0.7141317733990148,0.5338345864661654
159,97,29,81,0.6557377049180327,0.7363636363636363,0.62109375,0.752840909090909,0.5625
