,Metrics (Mean ± Std)
TN,16100.00 ± 1800.00
FP,9266.67 ± 1365.04
FN,3166.67 ± 960.90
TP,7733.33 ± 1137.25
Accuracy,65.65 ± 2.57
Sensitivity,70.87 ± 8.92
Specificity,63.41 ± 5.74
ROC AUC,73.53 ± 3.78
F1 Score,55.26 ± 3.25
