TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
206,57,35,78,0.7553191489361702,0.6902654867256637,0.7832699619771863,0.7866684612537433,0.6290322580645161
227,43,42,74,0.7797927461139896,0.6379310344827587,0.8407407407407408,0.7590996168582376,0.6351931330472103
210,46,34,76,0.7814207650273224,0.6909090909090909,0.8203125,0.777840909090909,0.6551724137931035
