,Metrics (Mean ± Std)
TN,22066.67 ± 2811.29
FP,10466.67 ± 2119.75
FN,4300.00 ± 1311.49
TP,9666.67 ± 1305.12
Accuracy,68.33 ± 1.76
Sensitivity,69.34 ± 7.61
Specificity,67.89 ± 5.19
ROC AUC,75.49 ± 1.99
F1 Score,56.73 ± 2.17
