TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
228,35,42,71,0.7952127659574468,0.6283185840707964,0.8669201520912547,0.8023486658366701,0.6484018264840181
230,40,45,71,0.7797927461139896,0.6120689655172413,0.8518518518518519,0.7510855683269476,0.6255506607929516
179,63,27,77,0.7398843930635838,0.7403846153846154,0.7396694214876033,0.7879450095359187,0.6311475409836066
180,81,34,78,0.6916890080428955,0.6964285714285714,0.6896551724137931,0.7616652983032294,0.5756457564575646
207,49,35,75,0.7704918032786885,0.6818181818181818,0.80859375,0.7827059659090909,0.641025641025641
