,Metrics (Mean ± Std)
TN,27966.67 ± 4593.84
FP,11133.33 ± 2458.32
FN,5600.00 ± 1389.24
TP,11166.67 ± 832.67
Accuracy,69.92 ± 3.42
Sensitivity,66.79 ± 6.50
Specificity,71.26 ± 7.56
ROC AUC,75.10 ± 0.85
F1 Score,57.16 ± 0.98
