,Metrics (Mean ± Std)
TN,27666.67 ± 2581.34
FP,11133.33 ± 3477.55
FN,5800.00 ± 1100.00
TP,10833.33 ± 1761.63
Accuracy,69.52 ± 3.35
Sensitivity,64.93 ± 7.98
Specificity,71.49 ± 8.19
ROC AUC,74.53 ± 0.43
F1 Score,56.08 ± 0.57
