,Metrics (Mean ± Std)
TN,28033.33 ± 3247.05
FP,5900.00 ± 2400.00
FN,6433.33 ± 2569.70
TP,8133.33 ± 2498.67
Accuracy,74.54 ± 0.74
Sensitivity,55.91 ± 17.77
Specificity,82.54 ± 7.51
ROC AUC,78.41 ± 1.91
F1 Score,55.92 ± 8.38
