TN,FP,FN,TP,Accuracy,Recall,Specificity,ROC AUC
243,93,47,97,0.7083333333333334,0.6736111111111112,0.7232142857142857,0.7549809854497356
203,86,30,94,0.7191283292978208,0.7580645161290323,0.7024221453287197,0.8065074227034267
262,64,39,101,0.778969957081545,0.7214285714285714,0.803680981595092,0.8215600350569676
275,56,61,81,0.7526427061310782,0.5704225352112676,0.8308157099697885,0.7626483979405132
291,70,68,87,0.7325581395348837,0.5612903225806452,0.8060941828254847,0.7658654275757305
