,Metrics (Mean ± Std)
TN,27033.33 ± 3855.30
FP,12766.67 ± 4908.50
FN,5333.33 ± 1011.60
TP,11733.33 ± 1553.49
Accuracy,68.28 ± 6.09
Sensitivity,68.61 ± 6.98
Specificity,68.13 ± 11.64
ROC AUC,74.91 ± 2.97
F1 Score,56.71 ± 2.54
