TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,ROC AUC,F1 Score
258,78,54,90,0.725,0.625,0.7678571428571429,0.7328662367724867,0.576923076923077
224,65,41,83,0.7433414043583535,0.6693548387096774,0.7750865051903114,0.7677754213639916,0.6102941176470589
243,83,37,103,0.7424892703862661,0.7357142857142858,0.745398773006135,0.7931200701139351,0.6319018404907975
240,91,42,100,0.718816067653277,0.704225352112676,0.7250755287009063,0.7820305518914088,0.6006006006006006
268,93,42,113,0.7383720930232558,0.7290322580645161,0.7423822714681441,0.8001608435349835,0.6260387811634348
