Metric,Mean,Standard Deviation
TN,220.0,9.0
FP,97.0,19.0
FN,39.0,9.16515138991168
TP,97.0,5.291502622129181
Accuracy,0.7015912779238415,0.04100586772667618
Sensitivity,0.7151455026455027,0.04852654343574712
Specificity,0.69577323290678,0.038112660532982685
ROC AUC,0.7494044427772458,0.024522011962383555
F1 Score,0.5905340317076938,0.0494678444811957
